1s | 69.8C | 325ppm | YES | SAFE
2s | 70.0C | 316ppm | YES | SAFE
3s | 73.2C | 318ppm | YES | SAFE
4s | 69.9C | 331ppm | YES | SAFE
5s | 75.7C | 318ppm | YES | SAFE
6s | 72.0C | 325ppm | YES | SAFE
7s | 73.5C | 324ppm | YES | SAFE
8s | 75.4C | 328ppm | YES | SAFE
9s | 71.9C | 316ppm | YES | SAFE
10s | 74.2C | 330ppm | YES | SAFE
11s | 74.8C | 331ppm | YES | SAFE
12s | 75.3C | 328ppm | YES | SAFE
13s | 75.3C | 340ppm | YES | SAFE
14s | 76.1C | 332ppm | YES | SAFE
15s | 78.5C | 327ppm | YES | SAFE
16s | 75.5C | 331ppm | YES | SAFE
17s | 78.7C | 336ppm | YES | SAFE
18s | 76.3C | 334ppm | YES | SAFE
19s | 77.6C | 331ppm | YES | SAFE
20s | 77.2C | 326ppm | YES | SAFE
21s | 81.8C | 340ppm | YES | SAFE
22s | 79.1C | 337ppm | YES | SAFE
23s | 81.8C | 335ppm | YES | SAFE
24s | 77.7C | 334ppm | YES | SAFE
25s | 82.5C | 329ppm | YES | SAFE
26s | 81.9C | 338ppm | YES | SAFE
27s | 79.4C | 330ppm | YES | SAFE
28s | 83.3C | 340ppm | YES | SAFE
29s | 83.7C | 337ppm | YES | SAFE
30s | 80.7C | 352ppm | YES | SAFE
31s | 82.8C | 332ppm | YES | SAFE
32s | 83.2C | 336ppm | YES | SAFE
33s | 83.2C | 343ppm | YES | SAFE
34s | 82.5C | 337ppm | YES | SAFE
35s | 84.0C | 345ppm | YES | SAFE
36s | 83.0C | 340ppm | YES | SAFE
37s | 81.9C | 350ppm | YES | SAFE
38s | 83.6C | 333ppm | YES | SAFE
39s | 87.1C | 335ppm | YES | SAFE
40s | 84.2C | 342ppm | YES | SAFE
41s | 84.9C | 338ppm | YES | SAFE
42s | 84.4C | 336ppm | YES | SAFE
43s | 87.1C | 334ppm | YES | SAFE
44s | 85.3C | 334ppm | YES | SAFE
45s | 86.0C | 337ppm | YES | SAFE
46s | 86.1C | 336ppm | YES | SAFE
47s | 86.1C | 352ppm | YES | SAFE
48s | 84.8C | 343ppm | YES | SAFE
49s | 83.7C | 342ppm | YES | SAFE
50s | 84.0C | 329ppm | YES | SAFE
51s | 85.0C | 333ppm | YES | SAFE
52s | 85.2C | 335ppm | YES | SAFE
53s | 85.3C | 342ppm | YES | SAFE
54s | 85.6C | 335ppm | YES | SAFE
55s | 87.3C | 339ppm | YES | SAFE
56s | 83.0C | 345ppm | YES | SAFE
57s | 83.6C | 333ppm | YES | SAFE
58s | 84.9C | 335ppm | YES | SAFE
59s | 84.6C | 342ppm | YES | SAFE
60s | 83.0C | 339ppm | YES | SAFE
61s | 83.2C | 339ppm | YES | SAFE
62s | 82.5C | 322ppm | YES | SAFE
63s | 82.6C | 335ppm | YES | SAFE
64s | 84.3C | 332ppm | YES | SAFE
65s | 84.5C | 334ppm | YES | SAFE
66s | 83.4C | 328ppm | YES | SAFE
67s | 80.3C | 322ppm | YES | SAFE
68s | 81.9C | 335ppm | YES | SAFE
69s | 80.5C | 327ppm | YES | SAFE
70s | 78.4C | 334ppm | YES | SAFE
71s | 80.8C | 322ppm | YES | SAFE
72s | 80.1C | 324ppm | YES | SAFE
73s | 79.7C | 327ppm | YES | SAFE
74s | 79.8C | 327ppm | YES | SAFE
75s | 79.6C | 324ppm | YES | SAFE
76s | 79.0C | 325ppm | YES | SAFE
77s | 78.6C | 324ppm | YES | SAFE
78s | 79.3C | 324ppm | YES | SAFE
79s | 76.2C | 313ppm | YES | SAFE
80s | 76.6C | 319ppm | YES | SAFE
81s | 77.1C | 322ppm | YES | SAFE
82s | 73.6C | 321ppm | YES | SAFE
83s | 77.2C | 320ppm | YES | SAFE
84s | 75.3C | 305ppm | YES | SAFE
85s | 72.6C | 312ppm | YES | SAFE
86s | 73.9C | 313ppm | YES | SAFE
87s | 73.3C | 313ppm | YES | SAFE
88s | 69.7C | 315ppm | YES | SAFE
