1s  | 60.0C | 320ppm | YES | SAFE
2s  | 62.0C | 318ppm | YES | SAFE
3s  | 65.0C | 321ppm | YES | SAFE
4s  | 68.0C | 319ppm | YES | SAFE
5s  | 70.0C | 320ppm | YES | SAFE
6s  | 72.0C | 321ppm | YES | SAFE
7s  | 74.0C | 320ppm | YES | SAFE
8s  | 76.0C | 319ppm | YES | SAFE
9s  | 79.0C | 321ppm | YES | SAFE
10s | 82.0C | 320ppm | YES | SAFE
11s | 84.0C | 319ppm | YES | SAFE
12s | 85.0C | 320ppm | YES | SAFE
13s | 84.0C | 321ppm | YES | SAFE
14s | 83.0C | 320ppm | YES | SAFE
15s | 82.0C | 319ppm | YES | SAFE
16s | 82.0C | 320ppm | YES | SAFE
17s | 81.0C | 321ppm | YES | SAFE
18s | 80.0C | 320ppm | YES | SAFE
19s | 80.0C | 319ppm | YES | SAFE
20s | 79.0C | 320ppm | YES | SAFE
21s | 79.0C | 320ppm | YES | SAFE
22s | 78.0C | 321ppm | YES | SAFE
23s | 78.0C | 320ppm | YES | SAFE
24s | 77.0C | 319ppm | YES | SAFE
25s | 77.0C | 320ppm | YES | SAFE
26s | 76.0C | 321ppm | YES | SAFE
27s | 76.0C | 320ppm | YES | SAFE
28s | 75.0C | 319ppm | YES | SAFE
29s | 75.0C | 320ppm | YES | SAFE
30s | 75.0C | 320ppm | YES | SAFE
35s | 74.0C | 320ppm | YES | SAFE
