1s  | 35.0C | 300ppm | YES | SAFE
2s  | 40.0C | 300ppm | YES | SAFE
3s  | 45.0C | 302ppm | YES | SAFE
4s  | 50.0C | 301ppm | YES | SAFE
5s  | 55.0C | 300ppm | YES | SAFE
6s  | 60.0C | 302ppm | YES | SAFE
7s  | 65.0C | 301ppm | YES | SAFE
8s  | 70.0C | 303ppm | YES | SAFE
9s  | 74.0C | 302ppm | YES | SAFE
10s | 78.0C | 301ppm | YES | SAFE
11s | 81.0C | 302ppm | YES | SAFE
12s | 83.0C | 300ppm | YES | SAFE
13s | 84.0C | 302ppm | YES | SAFE
14s | 85.0C | 301ppm | YES | SAFE
15s | 86.0C | 300ppm | YES | SAFE
16s | 87.0C | 301ppm | YES | SAFE
17s | 86.0C | 300ppm | YES | SAFE
18s | 85.0C | 302ppm | YES | SAFE
19s | 84.0C | 301ppm | YES | SAFE
20s | 84.0C | 300ppm | YES | SAFE
21s | 83.0C | 300ppm | YES | SAFE
22s | 82.0C | 301ppm | YES | SAFE
23s | 81.0C | 300ppm | YES | SAFE
24s | 80.0C | 302ppm | YES | SAFE
25s | 80.0C | 300ppm | YES | SAFE
26s | 79.0C | 301ppm | YES | SAFE
27s | 79.0C | 300ppm | YES | SAFE
28s | 78.0C | 302ppm | YES | SAFE
29s | 78.0C | 300ppm | YES | SAFE
30s | 77.0C | 301ppm | YES | SAFE
31s | 77.0C | 300ppm | YES | SAFE
32s | 76.0C | 301ppm | YES | SAFE
33s | 76.0C | 300ppm | YES | SAFE
34s | 75.0C | 302ppm | YES | SAFE
35s | 75.0C | 300ppm | YES | SAFE
