1s | 33.9C | 300ppm | NO | SAFE
2s | 35.1C | 303ppm | NO | SAFE
3s | 37.3C | 307ppm | YES | SAFE
4s | 36.7C | 303ppm | YES | SAFE
5s | 40.1C | 306ppm | YES | SAFE
6s | 40.1C | 309ppm | YES | SAFE
7s | 41.9C | 302ppm | YES | SAFE
8s | 43.4C | 304ppm | YES | SAFE
9s | 39.9C | 304ppm | YES | SAFE
10s | 41.1C | 310ppm | NO | SAFE
11s | 41.1C | 307ppm | NO | SAFE
12s | 42.6C | 306ppm | YES | SAFE
13s | 40.9C | 308ppm | YES | SAFE
14s | 44.6C | 307ppm | YES | SAFE
15s | 46.5C | 306ppm | YES | SAFE
16s | 46.5C | 310ppm | YES | SAFE
17s | 43.8C | 307ppm | YES | SAFE
18s | 48.0C | 317ppm | YES | SAFE
19s | 46.3C | 308ppm | YES | SAFE
20s | 48.9C | 307ppm | YES | SAFE
21s | 48.3C | 319ppm | YES | SAFE
22s | 47.2C | 313ppm | YES | SAFE
23s | 48.0C | 303ppm | YES | SAFE
24s | 50.8C | 309ppm | YES | SAFE
25s | 49.1C | 310ppm | YES | SAFE
26s | 49.1C | 311ppm | YES | SAFE
27s | 49.8C | 312ppm | YES | SAFE
28s | 52.3C | 309ppm | YES | SAFE
29s | 52.1C | 301ppm | YES | SAFE
30s | 51.6C | 312ppm | YES | SAFE
31s | 50.8C | 308ppm | YES | SAFE
32s | 56.4C | 310ppm | NO | SAFE
33s | 53.5C | 308ppm | YES | SAFE
34s | 54.0C | 317ppm | NO | SAFE
35s | 53.6C | 316ppm | YES | SAFE
36s | 53.8C | 313ppm | YES | SAFE
37s | 53.8C | 314ppm | YES | SAFE
38s | 57.5C | 312ppm | YES | SAFE
39s | 56.3C | 306ppm | NO | SAFE
40s | 58.0C | 316ppm | YES | SAFE
41s | 58.2C | 322ppm | YES | SAFE
42s | 58.7C | 311ppm | YES | SAFE
43s | 58.5C | 314ppm | YES | SAFE
44s | 56.4C | 322ppm | NO | SAFE
45s | 58.1C | 318ppm | YES | SAFE
46s | 57.0C | 318ppm | YES | SAFE
47s | 61.8C | 319ppm | YES | SAFE
48s | 60.3C | 317ppm | YES | SAFE
49s | 56.3C | 316ppm | YES | SAFE
50s | 60.6C | 310ppm | YES | SAFE
51s | 59.6C | 314ppm | NO | SAFE
52s | 60.7C | 311ppm | YES | SAFE
53s | 61.2C | 309ppm | YES | SAFE
54s | 59.2C | 320ppm | YES | SAFE
55s | 59.1C | 323ppm | YES | SAFE
56s | 61.1C | 317ppm | YES | SAFE
57s | 61.3C | 321ppm | YES | SAFE
58s | 60.1C | 319ppm | NO | SAFE
59s | 61.6C | 318ppm | YES | SAFE
60s | 63.6C | 314ppm | YES | SAFE
61s | 63.9C | 311ppm | YES | SAFE
62s | 63.3C | 320ppm | YES | SAFE
63s | 65.1C | 309ppm | NO | SAFE
64s | 63.8C | 314ppm | YES | SAFE
65s | 63.9C | 310ppm | YES | SAFE
66s | 67.6C | 313ppm | YES | SAFE
67s | 64.2C | 318ppm | YES | SAFE
68s | 65.1C | 316ppm | YES | SAFE
69s | 64.0C | 313ppm | YES | SAFE
70s | 64.5C | 317ppm | YES | SAFE
71s | 65.9C | 314ppm | NO | SAFE
72s | 64.2C | 312ppm | YES | SAFE
73s | 65.7C | 314ppm | YES | SAFE
74s | 64.4C | 307ppm | NO | SAFE
75s | 65.5C | 312ppm | YES | SAFE
76s | 68.3C | 313ppm | YES | SAFE
77s | 67.8C | 323ppm | YES | SAFE
78s | 69.2C | 309ppm | YES | SAFE
79s | 68.5C | 315ppm | YES | SAFE
80s | 68.2C | 312ppm | YES | SAFE
81s | 66.6C | 301ppm | YES | SAFE
82s | 66.2C | 306ppm | YES | SAFE
83s | 69.6C | 312ppm | YES | SAFE
84s | 67.4C | 313ppm | YES | SAFE
85s | 69.8C | 307ppm | YES | SAFE
86s | 69.6C | 311ppm | YES | SAFE
87s | 73.6C | 314ppm | YES | SAFE
88s | 70.5C | 306ppm | YES | SAFE
89s | 68.0C | 309ppm | YES | SAFE
90s | 71.1C | 311ppm | NO | SAFE
91s | 69.1C | 304ppm | YES | SAFE
92s | 68.1C | 305ppm | YES | SAFE
93s | 71.6C | 310ppm | YES | SAFE
94s | 71.0C | 311ppm | YES | SAFE
95s | 70.9C | 310ppm | NO | SAFE
96s | 70.3C | 310ppm | YES | SAFE
97s | 72.9C | 307ppm | YES | SAFE
98s | 69.4C | 312ppm | NO | SAFE
99s | 74.3C | 301ppm | YES | SAFE
100s | 71.7C | 302ppm | YES | SAFE
101s | 72.6C | 302ppm | YES | SAFE
102s | 72.5C | 300ppm | NO | SAFE
103s | 71.4C | 298ppm | NO | SAFE
104s | 72.6C | 301ppm | YES | SAFE
105s | 72.9C | 305ppm | YES | SAFE
106s | 71.8C | 291ppm | YES | SAFE
107s | 73.1C | 299ppm | YES | SAFE
108s | 72.7C | 298ppm | YES | SAFE
109s | 72.1C | 299ppm | YES | SAFE
110s | 71.3C | 294ppm | YES | SAFE
111s | 72.8C | 303ppm | YES | SAFE
112s | 73.4C | 304ppm | YES | SAFE
113s | 74.7C | 288ppm | YES | SAFE
114s | 73.4C | 298ppm | YES | SAFE
115s | 75.1C | 307ppm | YES | SAFE
116s | 72.0C | 298ppm | YES | SAFE
117s | 73.9C | 300ppm | YES | SAFE
118s | 74.0C | 296ppm | YES | SAFE
119s | 72.8C | 298ppm | NO | SAFE
120s | 73.8C | 296ppm | YES | SAFE
121s | 76.5C | 296ppm | YES | SAFE
122s | 72.1C | 300ppm | YES | SAFE
123s | 76.3C | 298ppm | YES | SAFE
124s | 74.7C | 295ppm | YES | SAFE
125s | 75.1C | 294ppm | NO | SAFE
126s | 74.8C | 298ppm | YES | SAFE
127s | 74.1C | 289ppm | YES | SAFE
128s | 74.3C | 284ppm | YES | SAFE
129s | 73.4C | 288ppm | YES | SAFE
130s | 73.7C | 288ppm | YES | SAFE
131s | 75.4C | 294ppm | YES | SAFE
132s | 75.6C | 289ppm | YES | SAFE
133s | 73.0C | 295ppm | YES | SAFE
134s | 73.9C | 292ppm | NO | SAFE
135s | 74.3C | 288ppm | NO | SAFE
136s | 74.4C | 290ppm | YES | SAFE
137s | 75.8C | 284ppm | YES | SAFE
138s | 74.6C | 280ppm | YES | SAFE
139s | 72.2C | 286ppm | YES | SAFE
140s | 75.4C | 289ppm | YES | SAFE
141s | 77.3C | 290ppm | YES | SAFE
142s | 76.3C | 289ppm | YES | SAFE
143s | 73.7C | 291ppm | YES | SAFE
144s | 73.8C | 293ppm | YES | SAFE
145s | 74.8C | 291ppm | YES | SAFE
146s | 76.4C | 287ppm | YES | SAFE
147s | 74.8C | 283ppm | YES | SAFE
