1s | 79.6C | 305ppm | YES | SAFE
2s | 78.9C | 301ppm | YES | SAFE
3s | 80.9C | 291ppm | YES | SAFE
4s | 79.4C | 301ppm | YES | SAFE
5s | 78.9C | 301ppm | YES | SAFE
6s | 80.0C | 304ppm | YES | SAFE
7s | 80.4C | 295ppm | YES | SAFE
8s | 78.9C | 298ppm | YES | SAFE
9s | 80.9C | 295ppm | YES | SAFE
10s | 78.8C | 298ppm | YES | SAFE
11s | 78.9C | 298ppm | YES | SAFE
12s | 79.9C | 297ppm | YES | SAFE
13s | 80.6C | 292ppm | YES | SAFE
14s | 80.4C | 306ppm | YES | SAFE
15s | 78.7C | 298ppm | YES | SAFE
16s | 81.5C | 306ppm | YES | SAFE
17s | 80.0C | 296ppm | YES | SAFE
18s | 79.9C | 297ppm | YES | SAFE
19s | 78.5C | 299ppm | YES | SAFE
20s | 78.4C | 309ppm | YES | SAFE
21s | 79.7C | 308ppm | YES | SAFE
22s | 79.5C | 302ppm | YES | SAFE
23s | 79.5C | 301ppm | YES | SAFE
24s | 78.9C | 308ppm | YES | SAFE
25s | 80.0C | 299ppm | YES | SAFE
26s | 79.7C | 310ppm | YES | SAFE
27s | 78.5C | 292ppm | YES | SAFE
28s | 80.6C | 291ppm | YES | SAFE
29s | 77.2C | 310ppm | YES | SAFE
30s | 78.3C | 298ppm | YES | SAFE
31s | 79.0C | 303ppm | YES | SAFE
32s | 76.5C | 298ppm | YES | SAFE
33s | 78.7C | 304ppm | YES | SAFE
34s | 78.5C | 304ppm | YES | SAFE
35s | 78.7C | 295ppm | YES | SAFE
36s | 78.2C | 304ppm | YES | SAFE
37s | 80.1C | 303ppm | YES | SAFE
38s | 79.2C | 291ppm | YES | SAFE
39s | 79.5C | 308ppm | YES | SAFE
40s | 78.3C | 296ppm | YES | SAFE
41s | 79.0C | 305ppm | YES | SAFE
42s | 78.0C | 295ppm | YES | SAFE
43s | 77.3C | 303ppm | YES | SAFE
44s | 78.3C | 308ppm | YES | SAFE
45s | 79.2C | 300ppm | YES | SAFE
46s | 78.6C | 299ppm | YES | SAFE
47s | 75.0C | 298ppm | YES | SAFE
48s | 78.5C | 294ppm | YES | SAFE
49s | 76.0C | 309ppm | YES | SAFE
50s | 78.8C | 301ppm | YES | SAFE
51s | 78.3C | 306ppm | YES | SAFE
52s | 77.7C | 300ppm | YES | SAFE
