1s | 50.3C | 310ppm | YES | SAFE
2s | 54.6C | 311ppm | YES | SAFE
3s | 59.4C | 311ppm | YES | SAFE
4s | 57.0C | 311ppm | YES | SAFE
5s | 55.6C | 312ppm | YES | SAFE
6s | 56.8C | 312ppm | YES | SAFE
7s | 57.6C | 312ppm | YES | SAFE
8s | 57.0C | 313ppm | YES | SAFE
9s | 54.8C | 313ppm | YES | SAFE
10s | 54.1C | 313ppm | YES | SAFE
11s | 55.1C | 314ppm | YES | SAFE
12s | 57.0C | 314ppm | YES | SAFE
13s | 57.9C | 314ppm | YES | SAFE
14s | 58.9C | 314ppm | YES | SAFE
15s | 56.3C | 315ppm | YES | SAFE
16s | 59.7C | 315ppm | YES | SAFE
17s | 60.3C | 315ppm | YES | SAFE
18s | 60.5C | 316ppm | YES | SAFE
19s | 59.4C | 316ppm | YES | SAFE
20s | 58.7C | 316ppm | YES | SAFE
21s | 60.1C | 316ppm | YES | SAFE
22s | 61.0C | 317ppm | YES | SAFE
23s | 63.4C | 317ppm | YES | SAFE
24s | 61.7C | 317ppm | YES | SAFE
25s | 59.2C | 317ppm | YES | SAFE
26s | 59.3C | 318ppm | YES | SAFE
27s | 59.3C | 318ppm | YES | SAFE
28s | 60.1C | 318ppm | YES | SAFE
29s | 61.7C | 318ppm | YES | SAFE
30s | 62.2C | 318ppm | YES | SAFE
31s | 62.9C | 319ppm | YES | SAFE
32s | 59.7C | 319ppm | YES | SAFE
33s | 64.7C | 319ppm | YES | SAFE
34s | 61.5C | 319ppm | YES | SAFE
35s | 59.4C | 319ppm | YES | SAFE
36s | 62.1C | 319ppm | YES | SAFE
37s | 62.0C | 319ppm | YES | SAFE
38s | 63.2C | 320ppm | YES | SAFE
39s | 65.0C | 320ppm | YES | SAFE
40s | 62.8C | 320ppm | YES | SAFE
41s | 66.7C | 320ppm | YES | SAFE
42s | 66.6C | 320ppm | YES | SAFE
43s | 62.8C | 320ppm | YES | SAFE
44s | 63.9C | 320ppm | YES | SAFE
45s | 63.3C | 320ppm | YES | SAFE
46s | 66.4C | 320ppm | YES | SAFE
47s | 64.7C | 320ppm | YES | SAFE
48s | 67.0C | 320ppm | YES | SAFE
49s | 64.8C | 320ppm | YES | SAFE
50s | 65.7C | 320ppm | YES | SAFE
51s | 62.2C | 320ppm | YES | SAFE
52s | 63.7C | 320ppm | YES | SAFE
53s | 65.7C | 320ppm | YES | SAFE
54s | 62.4C | 320ppm | YES | SAFE
55s | 66.4C | 320ppm | YES | SAFE
56s | 62.7C | 320ppm | YES | SAFE
57s | 67.6C | 319ppm | YES | SAFE
58s | 62.9C | 319ppm | YES | SAFE
59s | 65.3C | 319ppm | YES | SAFE
60s | 65.3C | 319ppm | NO | SAFE
61s | 66.3C | 319ppm | NO | SAFE
62s | 64.1C | 319ppm | NO | SAFE
63s | 68.9C | 319ppm | NO | SAFE
64s | 65.2C | 318ppm | NO | SAFE
65s | 62.4C | 318ppm | NO | SAFE
66s | 63.9C | 318ppm | NO | SAFE
67s | 64.7C | 318ppm | NO | SAFE
68s | 68.4C | 318ppm | NO | SAFE
69s | 65.1C | 317ppm | NO | SAFE
70s | 65.7C | 317ppm | NO | SAFE
71s | 67.4C | 317ppm | NO | SAFE
72s | 66.0C | 317ppm | NO | SAFE
73s | 63.8C | 317ppm | NO | SAFE
74s | 62.5C | 316ppm | NO | SAFE
75s | 62.6C | 316ppm | NO | SAFE
76s | 64.0C | 316ppm | NO | SAFE
77s | 63.4C | 315ppm | NO | SAFE
78s | 65.3C | 315ppm | NO | SAFE
79s | 61.7C | 315ppm | NO | SAFE
80s | 62.0C | 315ppm | NO | SAFE
81s | 61.2C | 314ppm | NO | SAFE
82s | 66.8C | 314ppm | NO | SAFE
83s | 61.5C | 314ppm | NO | SAFE
84s | 59.7C | 313ppm | NO | SAFE
85s | 64.3C | 313ppm | NO | SAFE
86s | 63.1C | 313ppm | NO | SAFE
87s | 64.2C | 312ppm | NO | SAFE
88s | 63.6C | 312ppm | NO | SAFE
89s | 62.1C | 312ppm | NO | SAFE
90s | 65.7C | 311ppm | NO | SAFE
91s | 63.1C | 311ppm | NO | SAFE
92s | 60.0C | 311ppm | NO | SAFE
93s | 65.9C | 310ppm | NO | SAFE
94s | 56.7C | 310ppm | NO | SAFE
95s | 59.8C | 310ppm | NO | SAFE
96s | 60.0C | 309ppm | NO | SAFE
97s | 62.1C | 309ppm | NO | SAFE
98s | 61.3C | 309ppm | NO | SAFE
99s | 60.6C | 308ppm | NO | SAFE
100s | 62.6C | 308ppm | NO | SAFE
101s | 60.6C | 308ppm | NO | SAFE
102s | 57.4C | 307ppm | NO | SAFE
103s | 58.3C | 307ppm | NO | SAFE
104s | 62.1C | 307ppm | NO | SAFE
105s | 54.7C | 306ppm | NO | SAFE
106s | 62.4C | 306ppm | NO | SAFE
107s | 59.0C | 306ppm | NO | SAFE
108s | 58.1C | 306ppm | NO | SAFE
109s | 60.1C | 305ppm | NO | SAFE
110s | 59.7C | 305ppm | NO | SAFE
111s | 57.2C | 305ppm | NO | SAFE
112s | 58.8C | 304ppm | NO | SAFE
113s | 60.9C | 304ppm | NO | SAFE
114s | 54.3C | 304ppm | NO | SAFE
115s | 58.8C | 304ppm | NO | SAFE
116s | 57.5C | 303ppm | NO | SAFE
117s | 54.3C | 303ppm | NO | SAFE
118s | 57.1C | 303ppm | NO | SAFE
119s | 58.7C | 303ppm | NO | SAFE
120s | 53.8C | 302ppm | NO | SAFE
121s | 54.4C | 302ppm | NO | SAFE
122s | 57.4C | 302ppm | NO | SAFE
123s | 54.5C | 302ppm | NO | SAFE
124s | 54.4C | 302ppm | NO | SAFE
125s | 57.8C | 301ppm | NO | SAFE
126s | 55.5C | 301ppm | NO | SAFE
127s | 49.2C | 301ppm | NO | SAFE
128s | 52.9C | 301ppm | NO | SAFE
129s | 56.5C | 301ppm | NO | SAFE
130s | 51.4C | 301ppm | NO | SAFE
131s | 54.1C | 301ppm | NO | SAFE
132s | 51.7C | 300ppm | NO | SAFE
133s | 53.3C | 300ppm | NO | SAFE
134s | 55.3C | 300ppm | NO | SAFE
135s | 54.7C | 300ppm | NO | SAFE
136s | 50.4C | 300ppm | NO | SAFE
137s | 53.4C | 300ppm | NO | SAFE
138s | 50.7C | 300ppm | NO | SAFE
139s | 51.5C | 300ppm | NO | SAFE
140s | 50.2C | 300ppm | YES | SAFE
141s | 54.0C | 300ppm | YES | SAFE
142s | 47.5C | 300ppm | YES | SAFE
143s | 47.3C | 300ppm | YES | SAFE
144s | 49.5C | 300ppm | YES | SAFE
145s | 46.8C | 300ppm | YES | SAFE
146s | 48.9C | 300ppm | YES | SAFE
147s | 47.4C | 300ppm | YES | SAFE
148s | 51.3C | 300ppm | YES | SAFE
149s | 49.7C | 300ppm | YES | SAFE
150s | 47.9C | 300ppm | YES | SAFE
151s | 48.0C | 301ppm | YES | SAFE
152s | 49.1C | 301ppm | YES | SAFE
153s | 48.1C | 301ppm | YES | SAFE
154s | 47.8C | 301ppm | YES | SAFE
155s | 47.7C | 301ppm | YES | SAFE
156s | 50.6C | 301ppm | YES | SAFE
157s | 49.6C | 301ppm | YES | SAFE
