1s | 44.4C | 305ppm | YES | SAFE
2s | 47.1C | 306ppm | YES | SAFE
3s | 47.0C | 315ppm | YES | SAFE
4s | 48.1C | 319ppm | YES | SAFE
5s | 46.8C | 315ppm | YES | SAFE
6s | 47.2C | 318ppm | YES | SAFE
7s | 47.4C | 319ppm | YES | SAFE
8s | 45.9C | 314ppm | YES | SAFE
9s | 47.6C | 322ppm | YES | SAFE
10s | 45.7C | 320ppm | YES | SAFE
11s | 46.4C | 317ppm | YES | SAFE
12s | 47.3C | 316ppm | YES | SAFE
13s | 49.0C | 316ppm | YES | SAFE
14s | 52.1C | 317ppm | YES | SAFE
15s | 47.8C | 319ppm | YES | SAFE
16s | 49.1C | 321ppm | YES | SAFE
17s | 47.9C | 312ppm | YES | SAFE
18s | 50.1C | 323ppm | YES | SAFE
19s | 52.4C | 318ppm | YES | SAFE
20s | 48.2C | 319ppm | YES | SAFE
21s | 52.0C | 318ppm | YES | SAFE
22s | 54.7C | 315ppm | YES | SAFE
23s | 49.9C | 319ppm | YES | SAFE
24s | 52.6C | 322ppm | YES | SAFE
25s | 52.7C | 323ppm | YES | SAFE
26s | 51.4C | 313ppm | YES | SAFE
27s | 49.6C | 316ppm | YES | SAFE
28s | 48.2C | 327ppm | YES | SAFE
29s | 50.8C | 326ppm | YES | SAFE
30s | 53.2C | 318ppm | YES | SAFE
31s | 51.1C | 316ppm | YES | SAFE
32s | 53.6C | 325ppm | YES | SAFE
33s | 54.7C | 328ppm | YES | SAFE
34s | 53.6C | 324ppm | YES | SAFE
35s | 53.9C | 326ppm | YES | SAFE
36s | 56.1C | 320ppm | YES | SAFE
37s | 52.0C | 317ppm | YES | SAFE
38s | 53.2C | 319ppm | YES | SAFE
39s | 55.8C | 329ppm | YES | SAFE
40s | 53.3C | 316ppm | YES | SAFE
41s | 56.3C | 321ppm | YES | SAFE
42s | 53.9C | 324ppm | YES | SAFE
43s | 57.1C | 320ppm | YES | SAFE
44s | 56.4C | 329ppm | YES | SAFE
45s | 54.7C | 315ppm | YES | SAFE
46s | 56.2C | 326ppm | YES | SAFE
47s | 58.1C | 334ppm | YES | SAFE
48s | 52.2C | 321ppm | YES | SAFE
49s | 58.3C | 323ppm | YES | SAFE
50s | 55.3C | 323ppm | YES | SAFE
51s | 58.9C | 327ppm | YES | SAFE
52s | 55.0C | 319ppm | YES | SAFE
53s | 57.3C | 330ppm | YES | SAFE
54s | 57.5C | 323ppm | YES | SAFE
55s | 56.7C | 330ppm | YES | SAFE
56s | 56.9C | 323ppm | YES | SAFE
57s | 58.1C | 326ppm | YES | SAFE
58s | 58.4C | 311ppm | YES | SAFE
59s | 59.1C | 333ppm | YES | SAFE
60s | 58.1C | 324ppm | YES | SAFE
61s | 54.4C | 330ppm | YES | SAFE
62s | 59.8C | 324ppm | YES | SAFE
63s | 56.4C | 323ppm | YES | SAFE
64s | 60.0C | 326ppm | YES | SAFE
65s | 56.4C | 331ppm | YES | SAFE
66s | 60.4C | 324ppm | YES | SAFE
67s | 57.9C | 329ppm | YES | SAFE
68s | 58.8C | 325ppm | YES | SAFE
69s | 62.0C | 323ppm | YES | SAFE
70s | 60.9C | 330ppm | NO | SAFE
71s | 59.9C | 341ppm | NO | SAFE
72s | 58.0C | 321ppm | NO | SAFE
73s | 60.7C | 323ppm | NO | SAFE
74s | 58.4C | 327ppm | NO | SAFE
75s | 60.5C | 320ppm | NO | SAFE
76s | 59.2C | 323ppm | NO | SAFE
77s | 61.7C | 316ppm | NO | SAFE
78s | 59.2C | 320ppm | NO | SAFE
79s | 61.6C | 327ppm | NO | SAFE
80s | 61.1C | 317ppm | NO | SAFE
81s | 62.8C | 325ppm | NO | SAFE
82s | 59.1C | 322ppm | NO | SAFE
83s | 60.6C | 326ppm | NO | SAFE
84s | 60.7C | 325ppm | NO | SAFE
85s | 60.2C | 321ppm | NO | SAFE
86s | 61.5C | 324ppm | NO | SAFE
87s | 60.8C | 319ppm | NO | SAFE
88s | 61.6C | 324ppm | NO | SAFE
89s | 60.5C | 321ppm | NO | SAFE
90s | 62.4C | 329ppm | NO | SAFE
91s | 61.5C | 323ppm | NO | SAFE
92s | 62.5C | 318ppm | NO | SAFE
93s | 62.7C | 326ppm | NO | SAFE
94s | 60.9C | 320ppm | NO | SAFE
95s | 62.9C | 317ppm | NO | SAFE
96s | 65.6C | 316ppm | NO | SAFE
97s | 62.4C | 321ppm | NO | SAFE
98s | 61.8C | 318ppm | NO | SAFE
99s | 60.1C | 325ppm | NO | SAFE
100s | 60.9C | 316ppm | NO | SAFE
101s | 61.8C | 318ppm | NO | SAFE
102s | 62.1C | 320ppm | NO | SAFE
103s | 62.7C | 322ppm | NO | SAFE
104s | 62.9C | 323ppm | NO | SAFE
105s | 64.1C | 322ppm | NO | SAFE
106s | 63.5C | 317ppm | NO | SAFE
107s | 63.2C | 319ppm | NO | SAFE
108s | 63.0C | 321ppm | NO | SAFE
109s | 62.9C | 322ppm | NO | SAFE
110s | 63.0C | 319ppm | NO | SAFE
111s | 66.1C | 311ppm | NO | SAFE
112s | 64.7C | 317ppm | NO | SAFE
113s | 64.5C | 310ppm | NO | SAFE
114s | 64.0C | 322ppm | NO | SAFE
115s | 62.9C | 321ppm | NO | SAFE
116s | 65.9C | 323ppm | NO | SAFE
117s | 62.9C | 315ppm | NO | SAFE
118s | 63.3C | 320ppm | NO | SAFE
119s | 62.5C | 316ppm | NO | SAFE
120s | 64.0C | 312ppm | NO | SAFE
121s | 64.4C | 320ppm | NO | SAFE
122s | 64.3C | 314ppm | NO | SAFE
123s | 64.6C | 322ppm | NO | SAFE
124s | 62.1C | 311ppm | NO | SAFE
125s | 60.7C | 310ppm | NO | SAFE
126s | 65.9C | 308ppm | NO | SAFE
127s | 64.1C | 310ppm | NO | SAFE
128s | 65.4C | 309ppm | NO | SAFE
129s | 64.7C | 305ppm | NO | SAFE
130s | 66.3C | 318ppm | NO | SAFE
131s | 64.3C | 310ppm | NO | SAFE
132s | 65.1C | 302ppm | NO | SAFE
133s | 63.7C | 316ppm | NO | SAFE
134s | 69.1C | 319ppm | NO | SAFE
135s | 65.9C | 311ppm | NO | SAFE
136s | 67.0C | 313ppm | NO | SAFE
137s | 66.4C | 321ppm | NO | SAFE
138s | 65.0C | 316ppm | NO | SAFE
139s | 67.6C | 310ppm | NO | SAFE
140s | 65.6C | 311ppm | NO | SAFE
141s | 68.0C | 312ppm | NO | SAFE
142s | 64.8C | 310ppm | NO | SAFE
143s | 68.1C | 311ppm | NO | SAFE
144s | 67.6C | 311ppm | NO | SAFE
145s | 69.2C | 314ppm | NO | SAFE
146s | 68.9C | 311ppm | NO | SAFE
147s | 66.9C | 306ppm | NO | SAFE
148s | 69.0C | 316ppm | NO | SAFE
149s | 66.1C | 309ppm | NO | SAFE
150s | 66.4C | 315ppm | NO | SAFE
151s | 68.2C | 318ppm | NO | SAFE
152s | 68.3C | 314ppm | NO | SAFE
153s | 66.1C | 306ppm | NO | SAFE
154s | 65.0C | 313ppm | NO | SAFE
155s | 69.4C | 315ppm | NO | SAFE
156s | 66.9C | 311ppm | NO | SAFE
157s | 67.6C | 299ppm | NO | SAFE
158s | 63.7C | 312ppm | NO | SAFE
159s | 70.5C | 309ppm | NO | SAFE
160s | 68.2C | 313ppm | NO | SAFE
161s | 63.7C | 306ppm | NO | SAFE
162s | 67.1C | 315ppm | NO | SAFE
163s | 66.9C | 309ppm | NO | SAFE
164s | 66.2C | 304ppm | NO | SAFE
165s | 68.9C | 299ppm | NO | SAFE
166s | 67.4C | 313ppm | NO | SAFE
167s | 67.8C | 305ppm | NO | SAFE
168s | 65.7C | 305ppm | NO | SAFE
169s | 64.8C | 304ppm | NO | SAFE
170s | 67.7C | 310ppm | NO | SAFE
171s | 68.8C | 305ppm | NO | SAFE
172s | 66.6C | 306ppm | NO | SAFE
173s | 66.1C | 307ppm | NO | SAFE
174s | 67.2C | 298ppm | NO | SAFE
175s | 65.4C | 310ppm | NO | SAFE
176s | 66.8C | 304ppm | NO | SAFE
177s | 66.6C | 311ppm | NO | SAFE
178s | 66.9C | 299ppm | NO | SAFE
179s | 66.9C | 300ppm | NO | SAFE
180s | 65.0C | 305ppm | NO | SAFE
181s | 66.0C | 298ppm | NO | SAFE
182s | 67.2C | 308ppm | NO | SAFE
183s | 65.3C | 306ppm | NO | SAFE
184s | 68.0C | 305ppm | NO | SAFE
185s | 66.3C | 301ppm | NO | SAFE
186s | 67.9C | 312ppm | NO | SAFE
187s | 69.9C | 298ppm | NO | SAFE
188s | 68.0C | 312ppm | NO | SAFE
189s | 68.2C | 309ppm | NO | SAFE
190s | 67.9C | 302ppm | NO | SAFE
191s | 68.6C | 295ppm | NO | SAFE
192s | 68.3C | 302ppm | NO | SAFE
193s | 68.3C | 310ppm | NO | SAFE
194s | 67.4C | 308ppm | NO | SAFE
195s | 66.6C | 303ppm | NO | SAFE
196s | 65.9C | 297ppm | NO | SAFE
197s | 68.9C | 299ppm | NO | SAFE
198s | 68.4C | 299ppm | NO | SAFE
199s | 67.6C | 309ppm | NO | SAFE
200s | 68.2C | 298ppm | NO | SAFE
201s | 68.3C | 304ppm | NO | SAFE
202s | 70.4C | 297ppm | NO | SAFE
203s | 65.0C | 309ppm | NO | SAFE
